,Unnamed: 0,precio_estimado,precio_venta,fecha,autor,casa_subasta,tipo,tecnica,dimensiones,fecha_creacion,titulo,precio_ajustado,is_inch,height,width
935,990," 3,000 - 5,000 AUD "," 2,000 AUD* ",2022-09-20, Jose Haro,Ozbid Auctions,HUGE MODERN ART AUCTION - LIVE ONLINE, Mixed media , 110cm x 180cm ,,Butterflies by Jose Haro,"1,373 USD",0,110.0,180.0
937,992, 200 - 300 USD , 275 USD* ,2022-09-20, Raul Milián,Weschler's,Metro Online Auction: A Timed Auction, Mixed Media , Frame: 24 x 20 in. (60.96 x 50.80 cm.) , 1960 ,"Untitled by Raul Milián, 1960",,1,24.0,20.0
941,997," 2,000 - 3,000 AUD "," 1,200 AUD* ",2022-09-20, Jose Haro,Ozbid Auctions,HUGE MODERN ART AUCTION - LIVE ONLINE, Mixed media on linen , 150cm x 120cm ,,Butterflies by Jose Haro,824 USD,0,150.0,120.0
944,1000," 2,000 - 3,000 AUD ", 750 AUD* ,2022-09-20, Jose Haro,Ozbid Auctions,HUGE MODERN ART AUCTION - LIVE ONLINE, Mixed Media on canvas , 100cm x 130cm , dated 2020 ,"Papillon by Jose Haro, dated 2020",515 USD,0,100.0,130.0
945,1001," 500 - 1,000 AUD "," 1,050 AUD* ",2022-09-20, Jose Haro,Ozbid Auctions,HUGE MODERN ART AUCTION - LIVE ONLINE, Mixed media , 52cm x 67cm , Painted in 2022 ,"Butterflies by Jose Haro, Painted in 2022",721 USD,0,52.0,67.0
947,1003, 550 - 650 CHF , 400 CHF* ,2022-09-20, Hervé Télémaque,TGP Auction,Pop & Contemporary Art, lithograph on wove paper , 76 x 56 cm 76 x 56 cm , 1974 ,"Le cercle by Hervé Télémaque, 1974",410 USD,0,76.0,56.0
949,1007, 500 - 700 USD , 450 USD* ,2022-09-20, Guillermo Trujillo,Weschler's,Metro Online Auction: A Timed Auction, Oil on Canvas , Frame: 20.25 x 31.5 in. (51.44 x 80.01 cm.) , 1961 ,"Toward the City' by Guillermo Trujillo, 1961",,1,20.25,31.5
952,1011," 600 - 1,200 AUD ", 550 AUD* ,2022-09-20, Jose Haro,Ozbid Auctions,HUGE MODERN ART AUCTION - LIVE ONLINE, Mixed media , 49cm x 76cm , Painted in 2022 ,"Butterflies by Jose Haro, Painted in 2022",378 USD,0,49.0,76.0
953,1012," 1,500 - 2,500 AUD "," 1,400 AUD* ",2022-09-20, Jose Haro,Ozbid Auctions,HUGE MODERN ART AUCTION - LIVE ONLINE, Mixed media , 100cm x 130cm , Painted in 2021 ,"Papillon by Jose Haro, Painted in 2021",961 USD,0,100.0,130.0
955,1014," 800 - 1,500 AUD ", 550 AUD* ,2022-09-20, Jose Haro,Ozbid Auctions,HUGE MODERN ART AUCTION - LIVE ONLINE, Mixed media on canvas , 110cm x 80cm , Painted in 2022 ,"Sunflower Shower by Jose Haro, Painted in 2022",378 USD,0,110.0,80.0
956,1015," 2,000 - 3,000 AUD "," 1,300 AUD* ",2022-09-20, Jose Haro,Ozbid Auctions,HUGE MODERN ART AUCTION - LIVE ONLINE, Mixed Media , tall 120cm x 90cm ,,Blue Boy by Jose Haro,892 USD,1,120.0,90.0
957,1016," 50 - 10,000 USD ", 50 USD* ,2022-09-19, Plata Lappas,Westport Auction,"GREENWICH, CT ESTATE AUCTION, ANTIQUES, DECOR, FINE-ART", SILVERPLATE ," ht H 15"" x W 10"" x D 6"" ",,PLATA LAPPAS ARGENTINIAN SILVERPLATE COFFEE POT by Plata Lappas,,1,15.0,10.0
958,1017," 50 - 10,000 USD "," 1,200 USD* ",2022-09-19, Irma Palacios Flores,Westport Auction,"GREENWICH, CT ESTATE AUCTION, ANTIQUES, DECOR, FINE-ART", O/C ," H 48.25"" x W 96.5"" ", 1999 ,"Large abstract triptych oil on canvas by Irma Palacios Flores, 1999",,1,48.25,96.5
962,1022," 1,500 - 2,000 USD ", 750 USD* ,2022-09-18, Francis Luis Mora,World Auction Gallery,Important Fall Auction, Oil on Canvas ," Sight- 18"" x 15"" ",,Untitled by Francis Luis Mora,,1,18.0,15.0
963,1023, 200 - 300 USD , 500 USD* ,2022-09-18, Pedro Friedeberg,World Auction Gallery,Important Fall Auction, Digital Graphic. Silkscreen ," Sight- 26.5"" x 26.5"" ",,Ciudad de un Millon con 25 Huevos Duros by Pedro Friedeberg,,1,26.5,26.5
964,1024, 400 - 500 USD , 850 USD* ,2022-09-18, Pedro Friedeberg,World Auction Gallery,Important Fall Auction, Seriograph ," Sight- 18.5"" x 18.5"" ",,La Nariz de Cleopatra by Pedro Friedeberg,,1,18.5,18.5
970,1030," 2,500 - 4,000 MXN "," 3,200 MXN* ",2022-09-17, Jorge Coste,"Morton Auctions, Monte Athos",Morton Saturdays. Opportunities 1156," Made of bronze, with black marble base ", 25 x 25 x 10 cm ,,Caballos by Jorge Coste,159 USD,0,25.0,25.0
971,1031," 10,000 - 20,000 MXN "," 8,000 MXN* ",2022-09-17, Torrico Prado,"Morton Auctions, Monte Athos",Morton Saturdays. Opportunities 1156, Oil on canvas , 69 x 59 cm ,,"Título ilgible, De la serie Rostros de mi Bolivia by Torrico Prado",398 USD,0,69.0,59.0
979,1039," 15,000 - 25,000 MXN "," 14,000 MXN* ",2022-09-17, Carlos Orozco Romero,"Morton Auctions, Monte Athos",Morton Saturdays. Opportunities 1156, Ink pencil drawing on paper , 28.5 x 20.5 cm , 1973 ,"Mujer cabalgante by Carlos Orozco Romero, 1973",697 USD,0,28.5,20.5
981,1041," 4,000 - 8,000 MXN "," 3,800 MXN* ",2022-09-17, Emilio Behar,"Morton Auctions, Monte Athos",Morton Saturdays. Opportunities 1156, Digital photography on rigid , 90 x 60 cm ,,Untitled by Emilio Behar,189 USD,0,90.0,60.0
982,1042," 6,000 - 8,000 MXN "," 5,500 MXN* ",2022-09-17, Daniel Evo,"Morton Auctions, Monte Athos",Morton Saturdays. Opportunities 1156," Acrylic, oil, enamel, adhesive tape, vinyl and paper collage on canvas ", 100 x 140 cm , 2018 ,"Metasistema_1 by Daniel Evo, 2018",274 USD,0,100.0,140.0
984,1044," 2,000 - 4,000 MXN "," 1,800 MXN* ",2022-09-17, Antonio González Orozco,"Morton Auctions, Monte Athos",Morton Saturdays. Opportunities 1156, Screen Printing , 56 x 76 cm , 92 ,"Untitled by Antonio González Orozco, 92",90 USD,0,56.0,76.0
992,1052, 60 - 100 USD , 30 USD* ,2022-09-17, Llewellyn Decarlo,Wickliff Auctioneers,"September Fine Art, Fine Jewelry", Lithograph ," Ht frameD 19.5"" x 25 ",,"deCarlo Embossed Lithograph, Bull by Llewellyn Decarlo",,1,19.5,25.0
996,1056," 500 - 1,000 USD ", 700 USD* ,2022-09-17, Hector Ayala,Blackwell Auctions,September Exceptional Estates Auction, painting ," 47.375"" x 66.75"" in54"" x 73.75"" frame ", dated 1974 ,"A nude and a figure strumming an instrument by Hector Ayala, dated 1974",,1,47.375,66.75
1007,1067," 50,000 - 100,000 JPY "," 57,500 JPY ",2022-09-17, Jesus-Rafael Soto,SBI Art Auction,LIVE STREAM AUCTION, Screenprint , 98.5 × 77.5 cm (380.75 × 300.5 in.) , 1974 ,"Vibration by Jesus-Rafael Soto, 1974",415 USD,1,98.5,77.5
1008,1068," 50,000 - 100,000 JPY "," 46,000 JPY ",2022-09-17, Jesus-Rafael Soto,SBI Art Auction,LIVE STREAM AUCTION, Screenprint , 41.9 × 41.9 cm (160.5 × 160.5 in.) 84.0 × 59.5 cm... , 1971 ,"CARONI by Jesus-Rafael Soto, 1971",332 USD,1,41.9,41.9
1010,1070," 800 - 1,200 USD ", 600 USD* ,2022-09-16, Cesar Villacres,Weschler's,Capital Collections Auction, Oil on canvas , : 24 x 60 in (61 x 152.4 cm) ,,View of Arc de Triomphe by Cesar Villacres,,1,24.0,60.0
1011,1071," 1,000 - 1,500 USD ", 500 USD* ,2022-09-16, Manuel Chong Neto,Weschler's,Capital Collections Auction, Oil on canvas , : 20 x 24 in (50.8 x 61 cm) , 1983 ,"Pequeña Dama Personaje Rojo by Manuel Chong Neto, 1983",,1,20.0,24.0
1018,1078, 500 - 700 USD , 850 USD ,2022-09-16, Juan Gastelum,Clars Auction Gallery,Fall Modern + Contemporary Art + Design, bronze sculpture ," 38""h x 13.5""w x 13.5""d ", 2003 ,"Nude Female by Juan Gastelum, 2003",,1,38.0,13.5
1026,1086," 1,000 - 1,500 USD ", 550 USD* ,2022-09-16, Cesar Villacres,Weschler's,Capital Collections Auction, Oil on canvas , : 18 x 22 in (45.7 x 55.9 cm) ,,View of the Panthéon by Cesar Villacres,,1,18.0,22.0
1034,1094," 800 - 1,200 USD ", 550 USD* ,2022-09-15, Rodolfo Abularach,Sloans & Kenyon,September Estate Catalogue Auction, Engraving or mezzotint ," 16"" x 24"" ", circa 1970 ,"Circe by Rodolfo Abularach, circa 1970",,1,16.0,24.0
1035,1095, 600 - 800 USD , 325 USD* ,2022-09-15, Oswaldo Guayasamín,Sloans & Kenyon,September Estate Catalogue Auction, Limited edition print ," 18"" x 26"" ", circa 1990 ,"Portrait by Oswaldo Guayasamín, circa 1990",,1,18.0,26.0
1036,1096," 1,000 - 2,000 USD "," 1,000 USD* ",2022-09-15, César Izquierdo,Sloans & Kenyon,September Estate Catalogue Auction, Oil and gesso on board ," 24"" x 32"" ", 1980 ,"Mansion del Espiritu Sereno by César Izquierdo, 1980",,1,24.0,32.0
1037,1097, 400 - 600 USD , 200 USD* ,2022-09-15, Nelson Roman,Sloans & Kenyon,September Estate Catalogue Auction, Oil on canvas ," 19"" x 23"" ", 1986 ,"Creatures in Mascaras by Nelson Roman, 1986",,1,19.0,23.0
1047,1107," 1,000 DKK ", 500 DKK* ,2022-09-15, Cristina Cruz,Bruun Rasmussen,"Art, antiques & collector's items", Oil on paper ," ""ht ""ht ""ht ""ht ""ht ""ht ""ht ""ht... ",,Composition by Cristina Cruz,68 USD,1,,
1050,1110, 700 - 900 USD , 520 USD ,2022-09-15, Sergio Rodrigues,Wright,A Seat for One: Historical Stools from the JF Chen Collection," rosewood, leather ", 130.5 h × 240.25 w × 160.5 d in 34 × 62 × 42 cm , circa 1965 ,"Stool by Sergio Rodrigues, circa 1965",,1,130.5,240.25
1051,1111, 100 - 150 EUR , 250 EUR* ,2022-09-15, Arthur Luiz Piza,Oger-Blanchet,IMPORTANT COLLECTION OF PRINTS - MODERN PAINTINGS - POSTERS - DRAWINGS, Etching and embossing ," 43,5 x 29,5 cm ",,Composition by Arthur Luiz Piza,252 USD,0,43.0,5.0
1057,1117, 100 - 200 EUR , 220 EUR* ,2022-09-06, Roberto Matta,Arcadia Auction House,Timed Auction - Modern and Contemporary Art, Etching / aquatint , cm 45x32 ,,Personagges by Roberto Matta,221 USD,0,45.0,32.0
1058,1118, 100 - 200 EUR , 600 EUR* ,2022-09-15, Roberto Matta,Oger-Blanchet,IMPORTANT COLLECTION OF PRINTS - MODERN PAINTINGS - POSTERS - DRAWINGS, Thermoformed plastic ," ht"" 7 x 7 x 7 cm8,5 x 8,5 x 8,5 ",,Suite of three plastic cubes with three lithographs inside by Roberto Matta,604 USD,1,7.0,7.0
1068,1128, 200 - 400 USD ," 1,408 USD ",2022-09-15, Nicolás García Uriburu,Brunk Auctions,Emporium Auction, oil on canvas ," 10 x 12.25 in.; canvas, 20 x 20.25 in.; ", 1962 ,"Two paintings: Extrajo (Extract) by Nicolás García Uriburu, 1962",,1,10.0,12.25
1176,1351," 6,000 - 10,000 USD "," 9,563 USD ",2022-09-14, Agustín‏ Fernández,Bonhams,Post-War & Contemporary Art X Made In California, oil on canvas , 25 x 31 in 64.7 x 80 cm , 66 ,"Untitled by Agustín‏ Fernández, 66",,1,25.0,31.0
1185,1360, 30 - 50 EUR , 30 EUR* ,2022-09-09, José Luis Cuevas,Rossini,"Paintings, Sculptures, Lithographs XIXth, Modern and Contemporary", Lithograph , 63.5 x 88 cm ,,Composition to the poem of Octavio Paz by José Luis Cuevas,30 USD,0,63.5,88.0
1191,1366," 1,500 - 2,500 USD "," 3,000 USD ",2022-09-08, Rufino Tamayo,Los Angeles Modern Auctions,Prints + Multiples, lithograph in colors on Arches , image: 260.5 h × 360.5 w in sheet: 290.625 h × 400.25 w... , 1989 ,"El Ermitaño by Rufino Tamayo, 1989",,1,260.5,360.5
1192,1367," 4,000 - 5,000 MXN "," 3,000 MXN* ",2022-09-03, Raúl Anguiano,"Morton Auctions, Cerro de Mayka",FRENCH FURNITURE AUCTION. INCLUDES DECORATIVE ARTS, Engraving , 25 x 20 cm , 1968 ,"Untitled by Raúl Anguiano, 1968",149 USD,0,25.0,20.0
1193,1368," 3,500 - 4,500 USD "," 3,000 USD* ",2022-08-12, Antonio Berni,Castells,Online: MODERN AND CONTEMPORARY ART, Embossed on paper , 39 x 28 cm , 65 ,"""El beso"" by Antonio Berni, 65",,0,39.0,28.0
1203,1378," 700 - 1,000 USD ", 375 USD* ,2022-08-27, Cundo Bermudez,Alex Cooper Auctioneers,"Paintings, Furniture, Decorative Arts, & Fine Rugs", Gouache on paper , sheet size: 30 x 22.25 in , '80 ,"Figure with Bird by Cundo Bermudez, '80",,1,30.0,22.25
1204,1379," 2,500,000 - 5,500,000 COP "," 4,000,000 COP* ",2022-08-25, Fernando Botero,BogotAuctions,Engravings and multiple, Lithograph on paper , 97 x 74 cm ,,Pedrito by Fernando Botero,910 USD,0,97.0,74.0
1205,1380," 300,000 - 500,000 COP "," 300,000 COP* ",2022-08-25, Enrique Grau,BogotAuctions,Engravings and multiple, Offset printing , 78.5 x 56 cm , 1986 ,"Ojo es ojo para el III Festival de Cine en Bogotá by Enrique Grau, 1986",68 USD,0,78.5,56.0
1206,1381," 5,000,000 - 12,000,000 COP "," 6,000,000 COP* ",2022-08-25, Fernando Botero,BogotAuctions,Engravings and multiple, Lithograph on paper , 34 x 28 cm ,,La Toilette by Fernando Botero,"1,365 USD",0,34.0,28.0
1207,1382," 2,000,000 - 4,000,000 COP "," 3,200,000 COP* ",2022-08-25, Roberto Matta,BogotAuctions,Engravings and multiple," Etching, aquatint on paper ", 47 x 36 cm , 1978 ,"De la carpeta Una temporada en el infierno by Roberto Matta, 1978",728 USD,0,47.0,36.0
1208,1383," 600,000 - 1,200,000 COP "," 2,000,000 COP* ",2022-08-25, Enrique Grau,BogotAuctions,Engravings and multiple, Lithograph on paper , 74.5 x 54 cm , 1990 ,"El espejo by Enrique Grau, 1990",455 USD,0,74.5,54.0
1209,1384," 1,000,000 - 2,000,000 COP "," 1,100,000 COP* ",2022-08-25, Francisco Toledo,BogotAuctions,Engravings and multiple, Lithograph on paper , 42 x 53 cm ,,Untitled by Francisco Toledo,250 USD,0,42.0,53.0
1210,1385," 50,000 - 70,000 MXN "," 52,000 MXN* ",2022-08-25, Raúl Anguiano,"Morton Auctions, Monte Athos",MODERN AND CONTEMPORARY ART, pastel on paper , 65 x 49.5 cm , 87 ,"Untitled by Raúl Anguiano, 87","2,607 USD",0,65.0,49.5
1211,1386," 200,000 - 300,000 MXN "," 360,000 MXN* ",2022-08-25, Raúl Anguiano,"Morton Auctions, Monte Athos",MODERN AND CONTEMPORARY ART, Oil on canvas , 85 x 119 cm , 59 ,"Duelo by Raúl Anguiano, 59","18,049 USD",0,85.0,119.0
1212,1387," 80,000 - 100,000 MXN "," 70,000 MXN* ",2022-08-25, Pablo O'Higgins,"Morton Auctions, Monte Athos",MODERN AND CONTEMPORARY ART, Watercolor and gouache on paper , 54.5 x 48.5 cm ,,Untitled by Pablo O'Higgins,"3,509 USD",0,54.5,48.5
1213,1388," 250,000 - 350,000 MXN "," 240,000 MXN* ",2022-08-25, Raúl Anguiano,"Morton Auctions, Monte Athos",MODERN AND CONTEMPORARY ART, Oil on canvas , 96 x 130.5 cm , 1957 ,"Boca del Río by Raúl Anguiano, 1957","12,032 USD",0,96.0,130.5
1214,1389, 400 - 600 USD , 550 USD ,2022-08-24, Gustavo Montoya,"Heritage Auctions, Dallas",Prints & Multiples, Serigraph in colors on wove paper , 27.125 x 21.25 inches , 1985 ,"Girl in Blue Holding a Bird by Gustavo Montoya, 1985",,1,27.125,21.25
1215,1390, 400 - 600 USD , 688 USD ,2022-08-23, Francisco Toledo,"John Moran Auctioneers, Inc.",Made In Mexico, Etching on paper under glass ," 7.625"" H x 9.75"" W d Sight: 8.25"" H x 10.25"" W d ",,"""Untitled"" by Francisco Toledo",,1,7.625,9.75
1217,1392," 800 - 1,200 USD "," 3,125 USD ",2022-08-23, Rufino Tamayo,"John Moran Auctioneers, Inc.",Made In Mexico, Etching and aquatint in colors on Guarro paper under glass ," Sheet: 22"" H x 30"" W d ", 1975 ,"Personaje, Luna Y Estrella by Rufino Tamayo, 1975",,1,22.0,30.0
1218,1393," 800 - 1,200 USD "," 2,000 USD ",2022-08-23, Francisco Toledo,"John Moran Auctioneers, Inc.",Made In Mexico, Woodcut in colors with gold leaf on paper under glass ," Image: 10.5"" H x 14.5"" W d Sheet: 15.25"" H x... ", 1984 ,"""Demetrio Vallejo, Nino,"" by Francisco Toledo, 1984",,1,10.5,14.5
1219,1394, 500 - 700 USD , 910 USD ,2022-08-23, Jesus Leuus,"John Moran Auctioneers, Inc.",Made In Mexico, Oil on Masonite ," 17.75"" H x 12.5"" W d ", 1963 ,"Seated Woman In White Dress by Jesus Leuus, 1963",,1,17.75,12.5
1220,1395," 2,500 - 3,500 USD "," 11,250 USD ",2022-08-23, José Luis Cuevas,"John Moran Auctioneers, Inc.",Made In Mexico, Oil on canvas ," 54.75"" H x 55"" W d ", 1964 ,"Marquis De Sade, Niño by José Luis Cuevas, 1964",,1,54.75,55.0
1221,1396, 500 - 700 USD , 585 USD ,2022-08-23, Gustavo Montoya,"John Moran Auctioneers, Inc.",Made In Mexico, Screenprint in colors on wove paper ," Image: 23.5"" H x 17.5"" W dSheet: 27.25"" H x 21... ",,"Two boys fishing on the beach, Boy with guitar and girl with violin by Gustavo Montoya",,1,23.5,17.5
1222,1397, 300 - 600 USD , 600 USD* ,2022-08-23, Prefete Duffaut,William H. Bunch Auctions,August 23rd: Eclectic Variety Auction, oil on masonite ," 24"" x 30"", framed 30.25"" x 36.5"" ",,Wharf at Jacmel by Prefete Duffaut,,1,24.0,30.0
1223,1398," 1,000 - 1,500 USD "," 2,125 USD ",2022-08-23, Francisco Toledo,"John Moran Auctioneers, Inc.",Made In Mexico," Etching, roulette and soft-ground in colors on paper under glass "," 8"" H x 11.5"" W d Sheet: 13.75"" H x 22.25"" W d ", 1977 ,"Sapos Y Chapulines by Francisco Toledo, 1977",,1,8.0,11.5
1224,1399," 800 - 1,200 USD "," 1,500 USD ",2022-08-23, Francisco Toledo,"John Moran Auctioneers, Inc.",Made In Mexico, Etching and aquatint in colors on BFK Rives paper under glass ," 15.5"" H x 15.25"" W d Sight: 26.5"" H x 18.75"" W d ", 1976 ,"""Iguana Rehilete,"" by Francisco Toledo, 1976",,1,15.5,15.25
1225,1400, 300 - 500 USD ," 2,375 USD ",2022-08-23, Francisco Toledo,"John Moran Auctioneers, Inc.",Made In Mexico, Lithograph in colors on paper under glass ," Image: 23"" H x 17"" W d Sight: 24.5"" H x 17... ",,"""Animales"" by Francisco Toledo",,1,23.0,17.0
1226,1401, 500 - 700 USD , 938 USD ,2022-08-23, Jesus Leuus,"John Moran Auctioneers, Inc.",Made In Mexico, Acrylic on Masonite ," 23.75"" H x 11.75"" W d ", 1963 ,"""Maternidad,"" by Jesus Leuus, 1963",,1,23.75,11.75
1227,1402, 600 - 800 USD , 375 USD ,2022-08-23, Jesus Leuus,"John Moran Auctioneers, Inc.",Made In Mexico, Oil with sand on Masonite ," 18.75"" H x 19"" W d ", 1968 ,"Figures seated in a doorway by Jesus Leuus, 1968",,1,18.75,19.0
1228,1403, 500 - 700 USD , 313 USD ,2022-08-23, Gustavo Montoya,"John Moran Auctioneers, Inc.",Made In Mexico, Screenprint in colors on wove paper ," Image: 23.5"" H x 17.5"" W dSheet: 27.25"" H x 21... ",,"Boy in blue with pot, Girl with parrot by Gustavo Montoya",,1,23.5,17.5
1229,1404," 1,000 - 1,500 USD "," 3,438 USD ",2022-08-23, Rufino Tamayo,"John Moran Auctioneers, Inc.",Made In Mexico, Mixografia in colors on Arches paper under glass ," Sheet: 22.75"" H x 29.75"" W d ", 1976 ,"""Sol,"" by Rufino Tamayo, 1976",,1,22.75,29.75
1230,1405, 400 - 600 USD ," 1,500 USD ",2022-08-23, Francisco Toledo,"John Moran Auctioneers, Inc.",Made In Mexico, Etching and aquatint in colors on paper under glass ," 3.25"" H x 5.75"" W d ", 1974 ,"""Conejo,"" by Francisco Toledo, 1974",,1,3.25,5.75
1231,1406," 800 - 1,200 USD "," 1,250 USD ",2022-08-23, Francisco Toledo,"John Moran Auctioneers, Inc.",Made In Mexico, Aquatint in colors on paper under glass ," 5.75"" H x 7"" W d Sight: 21.75"" H x 14.5"" W d ", 1985 ,"""Laguna Verde,"" by Francisco Toledo, 1985",,1,5.75,7.0
1232,1407," 7,000 - 12,000 MXN "," 6,000 MXN* ",2022-08-21, Francisco Toledo,"Morton Auctions, Cerro de Mayka",Morton Saturdays. Opportunities 1152, stencil on paper , 40.5 x 52 cm ,,Murciélago by Francisco Toledo,297 USD,0,40.5,52.0
1238,1413," 8,000 - 12,000 MXN "," 7,000 MXN* ",2022-08-21, Raúl Anguiano,"Morton Auctions, Cerro de Mayka",Morton Saturdays. Opportunities 1152, lithograph , 56 x 76 cm , 86 ,"Nostalgia II by Raúl Anguiano, 86",347 USD,0,56.0,76.0
1240,1415, 150 - 200 GBP ," 1,500 GBP* ",2022-08-18, Fernando Botero,Forum Auctions London,Summer Edit: Editions and Works on Paper, Lithograph printed in colours on wove paper , image 410 x 335 mm (16.125 x 13.125 in) , 1965 ,"Mujer Fumando by Fernando Botero, 1965","1,795 USD",1,410.0,335.0
1245,1420," 1,200 - 1,800 USD "," 2,168 USD ",2022-08-16, Rufino Tamayo,Bonhams,Prints & Multiples: Summer Splash, Lithograph in colors on Rives BFK , 27.25 x 21in (69.2 x 53.3cm)sheet 29.875 x 22... , 1969 ,"La Negra, from Mujeres by Rufino Tamayo, 1969",,1,27.25,21.0
1246,1421," 3,000 - 4,000 SEK "," 2,800 SEK* ",2022-08-16, Roberto Matta,Uppsala Auktionskammare,Decorative Sale - Prints, Color aquatint ," 49,5 x 37,5 cm ",,"Komposition ur ""Hom'mere (L'eautre)"" by Roberto Matta",271 USD,0,49.0,5.0
1247,1422," 2,500 - 3,500 USD "," 2,550 USD ",2022-08-16, Rufino Tamayo,Bonhams,Prints & Multiples: Summer Splash, Mixografía® in colors on wove paper , sheet 30.125 x 22.5in (76.5 x 57.1cm) , 1976 ,"Hombre En Negro by Rufino Tamayo, 1976",,1,30.125,22.5
1249,1424," 2,000 - 3,000 USD "," 2,805 USD ",2022-08-16, Rufino Tamayo,Bonhams,Prints & Multiples: Summer Splash, Lithograph in colors on Rives BFK paper , 21.25 x 27.5in (54 x 69.9cm)sheet 22.375 x... , 1969 ,"Masque Rouge (Red Mask), from Mujeres (Pereda 124) by Rufino Tamayo, 1969",,1,21.25,27.5
1250,1425," 2,500 - 3,500 USD "," 3,188 USD ",2022-08-16, Rufino Tamayo,Bonhams,Prints & Multiples: Summer Splash, Mixografía® relief print in colors on wove paper , sheet 22.5 x 30in (57.2 x 76.2cm) , 1976 ,"Dos Figuras (Pereda 220) by Rufino Tamayo, 1976",,1,22.5,30.0
1251,1426," 4,000 - 5,000 EUR "," 3,400 EUR* ",2022-08-15, Roberto Matta,Besch Cannes Auction,From the Impressionists to the Contemporaries - Paintings - Sculptures - Decorative Arts of the 20th century - Vintage Cars, Mixed technique on pencil lines ," 25,5 x 22 cm ",,Untitled by Roberto Matta,"3,462 USD",0,25.0,5.0
1252,1427," 4,000 - 5,000 EUR "," 3,200 EUR* ",2022-08-15, Roberto Matta,Besch Cannes Auction,From the Impressionists to the Contemporaries - Paintings - Sculptures - Decorative Arts of the 20th century - Vintage Cars, Mixed media ," 25,5 x 22 cm ",,Untitled by Roberto Matta,"3,259 USD",0,25.0,5.0
1254,1429," 7,000 - 9,000 MXN "," 6,000 MXN* ",2022-08-13, José Luis Cuevas,"Morton Auctions, Cerro de Mayka",Morton's Saturdays | Opportunities 1151, Ink on paper , 13 x 9 cm , 1973 ,"Mercado de carne en Hamburgo. Carnicero by José Luis Cuevas, 1973",302 USD,0,13.0,9.0
1255,1430," 2,000 - 3,000 MXN "," 3,000 MXN* ",2022-08-13, José Luis Cuevas,"Morton Auctions, Cerro de Mayka",Morton's Saturdays | Opportunities 1151, Lithograph , 27.2 x 37 , 1999 ,"""Dos personajes"" by José Luis Cuevas, 1999",151 USD,1,27.2,37.0
