pais,categoria,tematica,tecnica,soporte,medidas,fecha,etiquetas,precio,obra,autor,link
Cuba,Pintura,Lienzo,Oleo,Otros,2 x 1 cm,Artelista desde: 2 de Marzo de 2016,"luis, jorge, sub realismo, RV",Obra vendida,para llegar hacer,Jorge Luis Rosabal Viltres,https://www.artelista.com/obra/2302668651126905-para-llegar-hacer.html
Espana,Pintura,Figura,Pastel,Cartulina,50 x 65 cm,Artelista desde: 16 de Mayo de 2016,"Alvaro Suarez Vertiz, Alvaro Suarez Vertiz, don quijote de la mancha",Obra vendida,Don Quijote y Sancho en los Molinos de viento,Alvaro Suarez Vertiz,https://www.artelista.com/obra/7761106692653129-don-quijote-y-sancho-en-los-molinos-de-viento.html
Argentina,Pintura,Tela,Oleo,Otros,80 x 100 cm,Artelista desde: 14 de Abril de 2016,"esencialismo, abstracto, Rosende",1.033 MX$,Caleidoscopio,Nerina Rosende,https://www.artelista.com/obra/5644712042322042-caleidoscopio.html
Espana,Pintura,Otros,Oleo,Lienzo,81 x 100 cm,Artelista desde: 11 de Mayo de 2016,"naturaleza, crueldad, canibalismo, viviente, vida",300.042 MX$,Ocea des del cel,Modest Sala   (Walas),https://www.artelista.com/obra/4088350167427023-ocee-des-del-cel.html
Chile,Pintura,Figura,Tela,Oleo,195 x 158 cm,Artelista desde: 11 de Diciembre de 2015,"rosado, ventana, mujer, mariposa, silla",562.667 MX$,"Vuela mariposa, vuela",Veronica Byers,https://www.artelista.com/obra/5103057330827036-vuela-mariposa-vuela.html
Mexico,Pintura,Figura,Oleo,Tabla,60 x 80 cm,Artelista desde: 29 de Octubre de 2015,"pintura, oleo, ninas",Obra vendida,Entre caras y gestos (las ninas),Ricardo Cruz Fuentes,https://www.artelista.com/obra/9753269966669838-entre-caras-y-gestos-las-ninas.html
Argentina,Pintura,Acuarela,Retrato,Papel,25 x 30 cm,Artelista desde: 12 de Enero de 2016,"acuarela, emociones, rostro",Obra vendida,Emociones,Mel Ox,https://www.artelista.com/obra/9102600831682340-emociones.html
Chile,Pintura,Tela,Oleo,Figura,90 x 100 cm,Artelista desde: 14 de Diciembre de 2015,"nina, azul, rombos, vestido, vestido",120.572 MX$,Vestida de fiesta,Veronica Byers,https://www.artelista.com/obra/8358495673606514-vestida-de-fiesta.html
Mexico,Pintura,Tela,Media Mixta,Retrato,102 x 143 cm,Artelista desde: 9 de Diciembre de 2015,"'eduardo Galeano'., 'Garcia Marquez', 'Salma Hayeck'",172.025 MX$,El amor no es como lo pintan... Es como se escribe,QUINTIN PEREZ,https://www.artelista.com/obra/2737917710759477-el-amor-no-es-como-lo-pintan-es-como-se-escribe.html
Argentina,Pintura,Lienzo,Oleo,Otros,80 x 80 cm,Artelista desde: 28 de Octubre de 2015,"ocres, calidos, expresionismo, abstracto",1.236 MX$,SOLTANDO AMARRAS,Laura Madeo,https://www.artelista.com/obra/8304237016812728-soltando-amarras.html
Mexico,Pintura,Figura,Oleo,Tabla,60 x 80 cm,Artelista desde: 30 de Octubre de 2015,"oleo, ninos, pintura",Obra vendida,Entre caras y gestos (los ninos),Ricardo Cruz Fuentes,https://www.artelista.com/obra/3599163481772750-entre-caras-y-gestos-los-ninos.html
Chile,Pintura,Otros,Tela,Acrilico,225 x 260 cm,Artelista desde: 20 de Enero de 2016,"mujer, contemporaneo, gran formato, pintura",240.034 MX$,MADAME POUPEE,Pablo Lungenstrass,https://www.artelista.com/obra/6367540228766069-madame-poupee.html
Argelia,Pintura,Tabla,Oleo,Otros,60 x 81 cm,Artelista desde: 20 de Octubre de 2015,sin etiquetas,Obra vendida,adoje,Ahmed Mebarki,https://www.artelista.com/obra/7476360122446301-adoje.html
Colombia,Pintura,Animales,Oleo,Lienzo,150 x 190 cm,Artelista desde: 22 de Noviembre de 2015,"oleo, caballo, obra, hermosa",700.098 MX$,ESMERALDA COLOMBIANA,HENRY HINCAPIE,https://www.artelista.com/obra/2396167452232007-esmeralda-colombiana.html
Espana,Pintura,Lienzo,Oleo,Paisaje,146 x 97 cm,Artelista desde: 21 de Enero de 2016,sin etiquetas,114.016 MX$,""" El barrio de La Ventilla con las torres Kio en construccion.""",Ramon Penas Vazquez,https://www.artelista.com/obra/2816440362650884-el-barrio-de-la-ventilla-con-las-torres-kio-en-construccion.html
Espana,Pintura,Lienzo,Oleo,Otros,130 x 162 cm,Artelista desde: 8 de Julio de 2015,"esoterismo, desnudo, mujer, rosa",Obra vendida,Venus despertando el misterio,Luisjo Hernandez,https://www.artelista.com/obra/7551036910319542-venus-despertando-el-misterio.html
Espana,Pintura,Lienzo,Oleo,Desnudos,190 x 190 cm,Artelista desde: 23 de Noviembre de 2015,"figura subida, adolfo valiente. artista controlado",95.614 MX$,Un hombre midiendose la cabeza,Adolfo Valiente Fuentes,https://www.artelista.com/obra/1533333846493204-un-hombre-midiendose-la-cabeza.html
Espana,Pintura,Lienzo,Oleo,Otros,130 x 97 cm,Artelista desde: 3 de Diciembre de 2015,"azul, animales, mar",90.013 MX$,Cruce el Estrecho,Isidro Cahue,https://www.artelista.com/obra/9485996241956772-cruce-el-estrecho.html
Estados Unidos,Pintura,Lienzo,Media Mixta,Paisaje,151 x 182 cm,Artelista desde: 27 de Octubre de 2015,"""ciudad en movimiento"", ""arquitectura colonial"", ""textura actual"", """,540.076 MX$,Catedral de la Habana No. 2 (nocturna),Jose M. Acosta Miyer,https://www.artelista.com/obra/2211092359666767-catedral-de-la-habana-no-2-nocturna.html
Estados Unidos,Pintura,Otros,Oleo,Lienzo,76 x 101 cm,Artelista desde: 11 de Enero de 2016,"personajes fantasticos, soldados, cafetera",Obra vendida,La invasion de los tanques cafetera,Tony Rodriguez (Juan Antonio Rodriguez Olivares ),https://www.artelista.com/obra/2718322790216588-la-invasion-de-los-tanques-cafetera.html
Rusia,Pintura,Lienzo,Oleo,Paisaje,140 x 120 cm,Artelista desde: 16 de Diciembre de 2015,sin etiquetas,Obra vendida,Moscow. Bauman Garden. March.,Dmitriy Kedrin,https://www.artelista.com/obra/3001035627831466-moscow-bauman-garden-march.html
Mexico,Pintura,Tabla,Oleo,Figura,35 x 60 cm,Artelista desde: 19 de Octubre de 2015,sin etiquetas,Obra vendida,De Profundis,Eduardo Pola,https://www.artelista.com/obra/1747217988918480-de-profundis.html
Estados Unidos,Pintura,Lienzo,Media Mixta,Paisaje,60 x 90 cm,Artelista desde: 1 de Noviembre de 2015,"""Movimiento Habana""., ""textura actual"", ""ciudad en movimiento""",100.014 MX$,"""El Capricho de Gaudi"".",Jose M. Acosta Miyer,https://www.artelista.com/obra/1277949279461849-el-capricho-de-gaudi.html
Argentina,Pintura,Oleo,Otros,Lienzo,70 x 50 cm,Artelista desde: 26 de Diciembre de 2015,"paz, calma, color",Obra vendida,MIRADAS QUE ACECHAN,liliana lirangi,https://www.artelista.com/obra/1345337078590850-miradas-que-acechan.html
Mexico,Pintura,Lienzo,Oleo,Figura,58 x 86 cm,Artelista desde: 23 de Diciembre de 2015,"desesperacion, mujer, espalda, back, woman, blanco y negro",Obra vendida,desesperacion,Francisco Contreras,https://www.artelista.com/obra/7071460693039830-desesperacion.html
Argelia,Pintura,Lienzo,Oleo,Otros,40 x 50 cm,Artelista desde: 20 de Octubre de 2015,sin etiquetas,Obra vendida,anatopisme,Ahmed Mebarki,https://www.artelista.com/obra/9397375914761312-anatopisme.html
Espana,Pintura,Retrato,Lienzo,Acrilico,60 x 50 cm,Artelista desde: 9 de Junio de 2015,sin etiquetas,Obra vendida,Mirandolo ,Arte Idalya Patricia Guzman Garcia,https://www.artelista.com/obra/8668785747229969-mirandolo.html
Espana,Pintura,Tabla,Oleo,Retrato,88 x 68 cm,Artelista desde: 26 de Julio de 2015,"tablex, Morisot, berthe, berthe morisot, retrato",Obra vendida,Young Woman at the mirror,Isabel F.Bordalas,https://www.artelista.com/obra/1097584250274111-young-woman-at-the-mirror.html
Mexico,Pintura,Lienzo,Acrilico,Paisaje,125 x 155 cm,Artelista desde: 21 de Junio de 2015,"paisaje, alfonso, geometrico, ferro, abstracto, ciudad",Obra vendida,City,Alfonso Ferro R.,https://www.artelista.com/obra/3959456485620749-city.html
Venezuela,Pintura,Animales,Acrilico,Lienzo,140 x 100 cm,Artelista desde: 7 de Agosto de 2015,pintura,Obra vendida,Galope bajo la lluvia,yovanny saracual,https://www.artelista.com/obra/2320481458512681-galope-bajo-la-lluvia.html
Uruguay,Pintura,Lienzo,Media Mixta,Figura,150 x 110 cm,Artelista desde: 20 de Agosto de 2015,"figuras, expresionista, personajes, gente, miradas",Obra vendida,Que?????SOLD,Olga Armand Ugon,https://www.artelista.com/obra/8322242198762636-quesold.html
Estados Unidos,Pintura,Lienzo,Media Mixta,Otros,120 x 90 cm,Artelista desde: 11 de Junio de 2015,sin etiquetas,92.133 MX$,Exuberancia vital,Jose M. Acosta Miyer,https://www.artelista.com/obra/3404282349706587-exuberancia-vital.html
Argentina,Pintura,Figura,Acrilico,Lienzo,100 x 80 cm,Artelista desde: 29 de Agosto de 2015,"yungas, mujer, color, vibracion, lineas",1.685 MX$,Las Yungas es nombre de Mujer,Expertos en Arte FD,https://www.artelista.com/obra/8167527613705613-las-yungas-es-nombre-de-mujer.html
Espana,Pintura,Lienzo,Acrilico,Paisaje,89 x 60 cm,Artelista desde: 1 de Septiembre de 2015,"paisaje, naturaleza, vivencia",224.632 MX$,Tablas de Daimiel,juan padilla alex,https://www.artelista.com/obra/6042537147999951-tablas-de-daimiel.html
Argentina,Pintura,Lienzo,Oleo,Marina,100 x 100 cm,Artelista desde: 10 de Julio de 2015,"lluvia, sublime, oceano, arte, tormenta, mar",850 MX$,Exorcismo Azul,Expertos en Arte FD,https://www.artelista.com/obra/6501878737250193-exorcismo-azul.html
Espana,Pintura,Lienzo,Oleo,Retrato,65 x 81 cm,Artelista desde: 30 de Agosto de 2015,"hiperrealismo, oleo, realismo, mujer, retrato, colores.",120.017 MX$,Ave del paraiso,Jose Ma Madrid Sanz,https://www.artelista.com/obra/1943900233976353-ave-del-paraiso.html
Argentina,Pintura,Otros,Oleo,Lienzo,65 x 50 cm,Artelista desde: 11 de Junio de 2015,"rojo, fuego, oleo, lienzo",1.546 MX$,Danza sobre el fuego,Sabrina Maica,https://www.artelista.com/obra/5591506623040060-danza-sobre-el-fuego.html
Estados Unidos,Pintura,Lienzo,Media Mixta,Paisaje,80 x 100 cm,Artelista desde: 6 de Junio de 2015,"""Movimiento Habana"", ""textura actual"", ""ciudad en movimiento"", ""arquitectura colonial""",142.020 MX$,Sinfonia caotica para mi Habana No.XXXVII,Jose M. Acosta Miyer,https://www.artelista.com/obra/3204420284572955-sinfonia-caotica-para-mi-habana-noxxxvii.html
Espana,Pintura,Paisaje,Otros,Lienzo,100 x 73 cm,Artelista desde: 27 de Septiembre de 2015,"pigmento, colorista, surrealista",Obra vendida,IRA O DESTRUCCION CREADORA,Aima Martin,https://www.artelista.com/obra/7623096323262551-ira-o-destruccion-creadora.html
Mexico,Pintura,Lienzo,Acrilico,Figura,120 x 110 cm,Artelista desde: 29 de Junio de 2015,"amarillo, ocre, tierra, saxofon, cafe, capuchino",38.000 MX$,El cafe y su recuerdo,Gerardo Tapia,https://www.artelista.com/obra/4782264168360126-el-cafe-y-su-recuerdo.html
Argentina,Pintura,Media Mixta,Otros,Lienzo,120 x 200 cm,Artelista desde: 8 de Junio de 2015,"pintura, arte, Javier Gonzalez Sueldo",1.081 MX$,D.D.B.B.A,Javier Gonzalez Sueldo,https://www.artelista.com/obra/1632105819358096-ddbba.html
Argentina,Pintura,Desnudos,Oleo,Lienzo,60 x 90 cm,Artelista desde: 25 de Septiembre de 2015,"desnudo, mujer, espalda",Obra vendida,Incognita,Carla Angelini,https://www.artelista.com/obra/4087235232256387-incognita.html
Estados Unidos,Pintura,Paisaje,Media Mixta,Otros,122 x 150 cm,Artelista desde: 6 de Junio de 2015,"""textura actual"", ""ciudad en movimiento"", ""arquitectura colonial"", ""Movimiento Habana""",200.028 MX$,"Loma De La Candelaria (Trinidad, Cuba)",Jose M. Acosta Miyer,https://www.artelista.com/obra/8267249831292680-loma-de-la-candelaria-trinidad-cuba.html
Mexico,Pintura,Lienzo,Oleo,Desnudos,70 x 180 cm,Artelista desde: 15 de Septiembre de 2015,"mujeres, urbano, desnudos",Obra vendida,"""immaculata""",Raul Barcelo Carreola,https://www.artelista.com/obra/9196529485433381-immaculata.html
Argentina,Pintura,Retrato,Acrilico,Lienzo,40 x 50 cm,Artelista desde: 15 de Junio de 2015,sin etiquetas,1.066 MX$,rostro,Roberto Hargain,https://www.artelista.com/obra/2952409110316342-rostro.html
Estados Unidos,Pintura,Lienzo,Oleo,Bodegones,150 x 75 cm,Artelista desde: 10 de Junio de 2015,"realism, artwork, metras, canicas, kerr, marbles",Obra vendida,Kerr II,Carlos Bruscianelli,https://www.artelista.com/obra/5549923226613828-kerr-ii.html
Colombia,Pintura,Lienzo,Oleo,Paisaje,220 x 100 cm,Artelista desde: 20 de Marzo de 2015,sin etiquetas,230.033 MX$,Historia de amor,efrain zuniga tovar,https://www.artelista.com/obra/8736593959792138-historia-de-amor.html
Espana,Pintura,Oleo,Otros,Lienzo,46 x 55 cm,Artelista desde: 21 de Marzo de 2015,"luz, estatica, estudio, original, sombra, mesa",Obra vendida,LA  LUZ,claudiu arpad laszlo,https://www.artelista.com/obra/9300139375350347-la-luz.html
Argentina,Pintura,Paisaje,Lienzo,Oleo,100 x 100 cm,Artelista desde: 31 de Mayo de 2015,"agua, luz, amanecer",Obra vendida,Evanescente,Marta Cella,https://www.artelista.com/obra/6753228197760112-evanescente.html
Andorra,Pintura,Tela,Acrilico,Paisaje,189 x 267 cm,Artelista desde: 14 de Mayo de 2015,bosc,320.045 MX$,Bosc-16,Merce Ciaurriz Puigcercos,https://www.artelista.com/obra/7633662536432309-bosc-16.html
Estados Unidos,Pintura,Oleo,Otros,Lienzo,152 x 91 cm,Artelista desde: 24 de Marzo de 2015,"desilusion, tormenta, desengano",180.858 MX$,Despues de la Tormenta,Julia Rodriguez,https://www.artelista.com/obra/5238480217674227-despues-de-la-tormenta.html
Espana,Pintura,Lienzo,Acrilico,Otros,100 x 130 cm,Artelista desde: 26 de Abril de 2015,"arte judio, decorativa, decorativo, cabala, arte contemporaneo, arte hebreo",Obra vendida,Protosinaitico,ROSHi ,https://www.artelista.com/obra/1327109860576932-protosinaitico.html
Canada,Pintura,Lienzo,Acrilico,Otros,101 x 76 cm,Artelista desde: 8 de Abril de 2015,"painting, acrylic, abstact, dibujo, drawing, pintura",Obra vendida,Casanova,Pascal Gariepy,https://www.artelista.com/obra/5249792647266877-casanova.html
Espana,Pintura,Lienzo,Oleo,Bodegones,61 x 50 cm,Artelista desde: 26 de Marzo de 2015,"oleo, bodegon, granada",200.028 MX$,bodegon rococo,antonio gonzalez,https://www.artelista.com/obra/9668840630695694-bodegon-rococo.html
Espana,Pintura,Lienzo,Acrilico,Otros,60 x 90 cm,Artelista desde: 27 de Abril de 2015,"arte judio, decorativa, decorativo, arte hebreo, arte contemporaneo, cabala",Obra vendida,Dos Mundos,ROSHi ,https://www.artelista.com/obra/6898100568881558-dos-mundos.html
Cuba,Pintura,Figura,Otros,Lienzo,88 x 110 cm,Artelista desde: 13 de Mayo de 2015,sin etiquetas,Obra vendida,Amigas de la Hbana, israelcruzorozco,https://www.artelista.com/obra/3427214491554831-amigas-de-la-hbana.html
Argentina,Pintura,Tabla,Oleo,Desnudos,75 x 99 cm,Artelista desde: 13 de Mayo de 2015,"sexo, amor, pareja, relacion, figuracion, cuerpo humano",1.529 MX$,Primera carne,Romi CRAB,https://www.artelista.com/obra/4863473947210805-primera-carne.html
Argentina,Pintura,Tabla,Acrilico,Otros,40 x 60 cm,Artelista desde: 19 de Mayo de 2015,sin etiquetas,927 MX$,Sumergido,Gaston Pedro,https://www.artelista.com/obra/2361880556215208-sumergido.html
Colombia,Pintura,Lienzo,Oleo,Retrato,70 x 100 cm,Artelista desde: 16 de Marzo de 2015,"confianza, fuerza, inspiracion, reflexion",Obra vendida,CAMINO SIN RUMBO,Jaime beranyer Sanabria Lara,https://www.artelista.com/obra/3208967172840419-camino-sin-rumbo.html
Colombia,Pintura,Lienzo,Oleo,Figura,183 x 122 cm,Artelista desde: 31 de Marzo de 2015,sin etiquetas,140.667 MX$,THE VICIOUS CIRCLE OF ABUSE,hugo bautista-sandoval,https://www.artelista.com/obra/2449454997417333-the-vicious-circle-of-abuse.html
Espana,Pintura,Lienzo,Acrilico,Otros,100 x 100 cm,Artelista desde: 26 de Abril de 2015,"arte judio, decorativa, decorativo, cabala, arte contemporaneo, arte hebreo",Obra vendida,Bet,ROSHi ,https://www.artelista.com/obra/1022361853362986-bet.html
Estados Unidos,Pintura,Lienzo,Oleo,Otros,152 x 122 cm,Artelista desde: 23 de Marzo de 2015,"reflexion, inspiracion, contemplacion",231.096 MX$,Pensamientos,Julia Rodriguez,https://www.artelista.com/obra/2201851646996961-pensamientos.html
Colombia,Pintura,Paisaje,Oleo,Lienzo,80 x 110 cm,Artelista desde: 16 de Marzo de 2015,"ignorancia, sociedad, pobreza, hambre",Obra vendida,DICOTOMIAS - DE TRISTEZA,Jaime beranyer Sanabria Lara,https://www.artelista.com/obra/1343797774611517-dicotomias-de-tristeza.html
Ecuador,Pintura,Lienzo,Acrilico,Animales,98 x 98 cm,Artelista desde: 12 de Mayo de 2015,"tortuga, galapagos, Miconias, islas.",160.023 MX$,Tortuga Terrestre Gigante de Galapagos.,Andre Degel,https://www.artelista.com/obra/5356693185802610-tortuga-terrestre-gigante-de-galapagos.html
Espana,Pintura,Lienzo,Oleo,Desnudos,192 x 87 cm,Artelista desde: 31 de Marzo de 2015,"art, modern, realismo, painting, arte, realism",340.048 MX$,Espejismo,Guennadi Ulibin,https://www.artelista.com/obra/3305549077723119-espejismo.html
Estados Unidos,Pintura,Lienzo,Oleo,Figura,76 x 101 cm,Artelista desde: 31 de Marzo de 2015,"expressionistic, figurative, realistic",Obra vendida,"""In the Kitchen""",Modesto Obregon Mulet,https://www.artelista.com/obra/6492286355996156-in-the-kitchen.html
Argentina,Pintura,Papel,Acuarela,Marina,58 x 39 cm,Artelista desde: 26 de Mayo de 2015,"venezia, marinas, acuarela",Obra vendida,El Gran Canal,Federico Arcangeli,https://www.artelista.com/obra/1896751421763483-el-gran-canal.html
Nicaragua,Pintura,Tela,Oleo,Otros,84 x 65 cm,Artelista desde: 13 de Marzo de 2015,"pintura, oleo, nicaragua, batalla, wilberth saenz",Obra vendida,La Batalla de San Jacinto,Wilberth A. Saenz,https://www.artelista.com/obra/4099859952155417-la-batalla-de-san-jacinto.html
Espana,Pintura,Oleo,Retrato,Lienzo,130 x 97 cm,Artelista desde: 18 de Enero de 2015,"pop, collage, mujer",Obra vendida,Red Pucci,Roberto Alcalde Garcia,https://www.artelista.com/obra/1364935638322952-red-pucci.html
Mexico,Pintura,Lienzo,Oleo,Paisaje,130 x 120 cm,Artelista desde: 28 de Febrero de 2015,"espana, mexico, bolivia, paisaje, moreno, jose",100.014 MX$,SENDERO AZUL,Jose Moreno Aparicio,https://www.artelista.com/obra/7753784682450436-sendero-azul.html
Mexico,Pintura,Lienzo,Acrilico,Animales,170 x 150 cm,Artelista desde: 26 de Enero de 2015,"geometrico, abstracto, toro, alfonso, ferro",100.014 MX$,Toro,Alfonso Ferro R.,https://www.artelista.com/obra/5084345226742967-toro.html
Colombia,Pintura,Lienzo,Oleo,Retrato,80 x 120 cm,Artelista desde: 18 de Marzo de 2015,"fuerza, consistencia, gallardia, vision",Obra vendida,DICOTOMIAS - DE SUMISION,Jaime beranyer Sanabria Lara,https://www.artelista.com/obra/6102481859788264-dicotomias-de-sumision.html
Colombia,Pintura,Lienzo,Oleo,Retrato,100 x 150 cm,Artelista desde: 18 de Marzo de 2015,"percpcion, dimension, tension",Obra vendida,DICOTOMIAS - DE TENSION,Jaime beranyer Sanabria Lara,https://www.artelista.com/obra/9023497969727726-dicotomias-de-tension.html
Argentina,Pintura,Otros,Media Mixta,Otros,70 x 60 cm,Artelista desde: 15 de Enero de 2015,"carnaval, mascaras, color",1.135 MX$,"""El confeti del carnaval""",Muta       ,https://www.artelista.com/obra/2649835519178709-el-confeti-del-carnaval.html
Argentina,Pintura,Tela,Acrilico,Otros,50 x 50 cm,Artelista desde: 28 de Enero de 2015,"acrilico, latinoamericano, realismo magico",86.013 MX$,Madre e hijo,Alejandra Patricia Salgado,https://www.artelista.com/obra/9595770178775392-madre-e-hijo.html
Argentina,Pintura,Marina,Oleo,Lienzo,60 x 50 cm,Artelista desde: 6 de Marzo de 2015,"abstracto, mar, verde, olas",10.500 MX$,Mar Esmeralda,norma sabaris pineiro,https://www.artelista.com/obra/4068647650393788-mar-esmeralda.html
Espana,Pintura,Media Mixta,Otros,Lienzo,150 x 150 cm,Artelista desde: 3 de Marzo de 2015,"azul, rojo, blanco, creacion, universo",Obra vendida,Genesis,Antonimo DiscipuloSinMaestro,https://www.artelista.com/obra/1244913363139561-genesis.html
Argentina,Pintura,Lienzo,Oleo,Paisaje,50 x 40 cm,Artelista desde: 1 de Marzo de 2015,"figura, paisaje, ciudad",1.392 MX$,Vendiendo sandwichs,Nuri Balalguer,https://www.artelista.com/obra/2580481891850153-vendiendo-sandwichs.html
Colombia,Pintura,Lienzo,Oleo,Retrato,150 x 100 cm,Artelista desde: 16 de Marzo de 2015,"humanidad, desplazamiento, indigencia",Obra vendida,FAMIIA WAYUU,Jaime beranyer Sanabria Lara,https://www.artelista.com/obra/7265745943004318-famiia-wayuu.html
Mexico,Pintura,Otros,Acrilico,Tabla,1 x 2 cm,Artelista desde: 27 de Enero de 2015,"tecnica, muralismo, mayas",122.180 MX$,EL FIN DEL MUNDO,Ramon Valdiosera,https://www.artelista.com/obra/8466420422836999-el-fin-del-mundo.html
Colombia,Pintura,Lienzo,Oleo,Retrato,50 x 121 cm,Artelista desde: 18 de Marzo de 2015,"magia, amor, emocion, desconexion",Obra vendida,LA MUJER Y LA LUNA,Jaime beranyer Sanabria Lara,https://www.artelista.com/obra/3851548079623225-la-mujer-y-la-luna.html
Mexico,Pintura,Lienzo,Oleo,Animales,110 x 150 cm,Artelista desde: 2 de Marzo de 2015,"ara, Hyacinthe, parrots, jose, moreno, jungle",Obra vendida,BESO AZUL,Jose Moreno Aparicio,https://www.artelista.com/obra/1526391487337585-beso-azul.html
Colombia,Pintura,Lienzo,Oleo,Otros,60 x 80 cm,Artelista desde: 16 de Marzo de 2015,"ausencia, calle, soledad, hambre",Obra vendida,CAMBIO DE TONO,Jaime beranyer Sanabria Lara,https://www.artelista.com/obra/4985731973167546-cambio-de-tono.html
Espana,Pintura,Lienzo,Acrilico,Otros,180 x 180 cm,Artelista desde: 13 de Marzo de 2015,abstracto,Obra vendida,SECUENCIAS DEL HABITAD URBANA,JUAN MUZ-MARTINEZ,https://www.artelista.com/obra/2033729973137972-secuencias-del-habitad-urbana.html
Colombia,Pintura,Lienzo,Oleo,Retrato,60 x 100 cm,Artelista desde: 16 de Marzo de 2015,"alternativa, incidente, fortuito, cambiante",Obra vendida,DICOTOMIAS ---  DE VISISITUDES,Jaime beranyer Sanabria Lara,https://www.artelista.com/obra/1579068983438386-dicotomias-de-visisitudes.html
Chile,Pintura,Figura,Acrilico,Tela,155 x 167 cm,Artelista desde: 15 de Marzo de 2015,"expresionismo, abstracto, delfin",110.016 MX$,El Delfin,Oscar Capeche,https://www.artelista.com/obra/1344441041656041-el-delfin.html
Mexico,Pintura,Animales,Acrilico,Tabla,2 x 1 cm,Artelista desde: 17 de Febrero de 2015,"fantasia, onirico, realismo, oviparos, monstruos, reptiles",142.958 MX$,BELLEZAS OVOIDES ,Ramon Valdiosera,https://www.artelista.com/obra/5269762945368180-bellezas-ovoides.html
Argentina,Pintura,Otros,Oleo,Lienzo,100 x 80 cm,Artelista desde: 5 de Marzo de 2015,"expresionismo, abstracto, grises, calidos",927 MX$,EN SINTESIS V,Laura Madeo,https://www.artelista.com/obra/5925843883916303-en-sintesis-v.html
Espana,Pintura,Figura,Lienzo,Oleo,130 x 89 cm,Artelista desde: 25 de Noviembre de 2014,"figura, realismo, figurativo, interior",Obra vendida,6. TOCANDO EL SAXOFON CERCA DE LA VENTANA,Pedro Baos,https://www.artelista.com/obra/6221796473058379-6-tocando-el-saxofon-cerca-de-la-ventana.html
Mexico,Pintura,Lienzo,Media Mixta,Floral,100 x 80 cm,Artelista desde: 4 de Diciembre de 2014,"fleur de Noel, Christmas flower, Fiore di Natale, flor, flor de navidad, flor de Noche Buena",Obra vendida,FLOR MEXICANA,MONICA LOWENBERG,https://www.artelista.com/obra/8982502886073760-flor-mexicana.html
Espana,Pintura,Lienzo,Oleo,Figura,130 x 80 cm,Artelista desde: 25 de Noviembre de 2014,"realismo, mujer",Obra vendida,2. MUJER EN EL BALCON,Pedro Baos,https://www.artelista.com/obra/5185174710748669-2-mujer-en-el-balcon.html
Espana,Pintura,Lienzo,Oleo,Figura,80 x 130 cm,Artelista desde: 25 de Noviembre de 2014,sin etiquetas,Obra vendida,15. MUJER DE ROJO DORMIDA,Pedro Baos,https://www.artelista.com/obra/1363123727605960-15-mujer-de-rojo-dormida.html
Argentina,Pintura,Otros,Acrilico,Tabla,91 x 64 cm,Artelista desde: 30 de Noviembre de 2014,"abstracto, tabla, acrilico",6.485 MX$,Julio,Gladis Pereyra,https://www.artelista.com/obra/7258581166580836-julio.html
Espana,Pintura,Animales,Oleo,Lienzo,160 x 300 cm,Artelista desde: 26 de Noviembre de 2014,"toro, torero, espana",Obra vendida,TORO Y TORERO,IGNACIO MIGUEL SANCHEZ MORENO,https://www.artelista.com/obra/5815480344330456-toro-y-torero.html
Mexico,Pintura,Papel,Acuarela,Animales,40 x 60 cm,Artelista desde: 18 de Noviembre de 2014,"caballos, acuarela, watercolor, horses",9.680 MX$,Turena,Armando G Romero,https://www.artelista.com/obra/2520874236477320-turena.html
Argentina,Pintura,Figura,Acrilico,Tabla,92 x 64 cm,Artelista desde: 30 de Noviembre de 2014,"abstracto, figuras, naturaleza, universo, tabla, acrilico",6.948 MX$,Signo ndeg 3,Gladis Pereyra,https://www.artelista.com/obra/2930006999499368-signo-n-3.html
Argentina,Pintura,Desnudos,Oleo,Lienzo,90 x 80 cm,Artelista desde: 9 de Enero de 2015,"figuras, abstracto, colores, desnudo",Obra vendida,El reflejo de un alma iluminada,Sofia Colmano,https://www.artelista.com/obra/2890737965947801-el-reflejo-de-un-alma-iluminada.html
Espana,Pintura,Figura,Lienzo,Oleo,40 x 30 cm,Artelista desde: 29 de Diciembre de 2014,1,Obra vendida,contadini con tabacro,Francisco Arbol Guerrero,https://www.artelista.com/obra/8677380930974720-contadini-con-tabacro.html
Espana,Pintura,Paisaje,Oleo,Lienzo,110 x 100 cm,Artelista desde: 12 de Enero de 2015,"desilusion engano, calma, esperanza, final feliz",Obra vendida,la barca,eme moll,https://www.artelista.com/obra/4705542821464023-la-barca.html
Argentina,Pintura,Otros,Oleo,Lienzo,100 x 80 cm,Artelista desde: 27 de Diciembre de 2014,"azules, calidos, abstracto, expresionismo",927 MX$,EN SINTESIS I,Laura Madeo,https://www.artelista.com/obra/1775462715580991-en-sintesis-i.html
Espana,Pintura,Lienzo,Oleo,Figura,100 x 120 cm,Artelista desde: 8 de Enero de 2015,"Alvaro Suarez Vertiz, Alvaro Suarez Vertiz, Alvaro Suarez Vertiz",Obra vendida,La huida,Alvaro Suarez Vertiz,https://www.artelista.com/obra/6955420975447541-la-huida.html
Argentina,Pintura,Lienzo,Oleo,Floral,50 x 70 cm,Artelista desde: 1 de Enero de 2015,"azul, flores, troncos, arboles, bosque, oleo",714 MX$,Nocturno 2,Claudio Mizrahi,https://www.artelista.com/obra/4263681712336631-nocturno-2.html
